277 OEB 52 2011: overall = 4.32, workload = 1.88, difficulty = 2.50
278 CULTR&BLF 47 2011: overall = 3.81, workload = 1.63, difficulty = 2.41
279 EASTD 191 2011: overall = 4.39, workload = 1.89, difficulty = 2.56
280 STAT 135 2011: overall = 4.17, workload = 1.64, difficulty = 2.76
281 HIST 1415 2011: overall = 4.62, workload = 1.92, difficulty = 2.75
282 AESTH&INTP 24 2011: overall = 3.94, workload = 1.49, difficulty = 2.79
283 SCRB 190 2011: overall = 4.91, workload = 2.00, difficulty = 2.91
284 PSY 1552 2012: overall = 4.75, workload = 2.00, difficulty = 2.75
285 NEUROBIO 306qc 2011: overall = 5.00, workload = 2.00, difficulty = 3.00
286 CHNSE 107a 2012: overall = 5.00, workload = 2.00, difficulty = 3.00
287 SCI-LIVSYS 18 2011: overall = 4.00, workload = 1.67, difficulty = 2.55
288 PHIL 312 2011: overall = 5.00, workload = 2.00, difficulty = 3.00
289 SOCIOL 43 2011: overall = 3.59, workload = 1.58, difficulty = 2.29
290 PHYSICS 141 2012: overall = 4.06, workload = 1.78, difficulty = 2.44
291 CULTR&BLF 31 2011: overall = 4.00, workload = 1.69, difficulty = 2.53
292 SCRB 180 2011: overall = 4.48, workload = 1.87, difficulty = 2.71
293 CLAS-STDY 165 2012: overall = 4.13, workload = 1.77, difficulty = 2.53
294 HAA 18p 2011: overall = 4.76, workload = 1.95, difficulty = 2.86
295 HISTSCI 150 2011: overall = 3.96, workload = 1.71, difficulty = 2.46
296 SCRB 125 2011: overall = 4.38, workload = 1.69, difficulty = 2.92
297 PSY 1604 2011: overall = 4.37, workload = 1.74, difficulty = 2.83
298 HIST 1967 2011: overall = 4.17, workload = 1.80, difficulty = 2.53
299 SOCIOL 190 2011: overall = 4.35, workload = 1.80, difficulty = 2.71
300 SCI-PHYUNV 25 2011: overall = 3.53, workload = 1.58, difficulty = 2.26
301 ENGLISH Cwfr 2011: overall = 4.70, workload = 1.90, difficulty = 2.90
302 EXPOS 10.011 2012: overall = 4.70, workload = 1.90, difficulty = 2.90
303 CULTR&BLF 30 2011: overall = 4.24, workload = 1.72, difficulty = 2.74
304 SPANSH C 2011: overall = 4.33, workload = 1.78, difficulty = 2.73
305 RELIGION 40 2011: overall = 4.30, workload = 1.90, difficulty = 2.50
306 HISTSCI 176 2011: overall = 4.05, workload = 1.71, difficulty = 2.57
307 STAT 104 2012: overall = 4.02, workload = 1.74, difficulty = 2.49
308 ENGLISH Cnfr 2012: overall = 4.75, workload = 1.83, difficulty = 3.08
309 ENGLISH Crr 2011: overall = 5.00, workload = 2.08, difficulty = 2.92
310 MCB 290hfr 2011: overall = 3.96, workload = 1.48, difficulty = 2.88
311 SCRB 175 2011: overall = 4.12, workload = 1.62, difficulty = 2.81
312 ENGLISH Cwfr 2011: overall = 4.73, workload = 2.09, difficulty = 2.64
313 AESTH&INTP 24 2012: overall = 3.94, workload = 1.48, difficulty = 2.87
314 LITER 130 2011: overall = 4.92, workload = 2.08, difficulty = 2.85
315 MCB 178 2011: overall = 4.33, workload = 1.80, difficulty = 2.73
316 SCI-LIVSYS 19 2011: overall = 3.45, workload = 1.53, difficulty = 2.30
317 WOMGEN 1424 2012: overall = 4.62, workload = 2.00, difficulty = 2.69
318 OEB 114 2012: overall = 4.50, workload = 1.79, difficulty = 2.92
319 SAS 150 2012: overall = 4.18, workload = 1.82, difficulty = 2.55
320 HISTSCI 193 2012: overall = 4.06, workload = 1.76, difficulty = 2.53
321 EXPOS 10.003 2012: overall = 5.00, workload = 2.11, difficulty = 2.89
322 VES 167 2011: overall = 4.78, workload = 2.11, difficulty = 2.67
323 OEB 59 2012: overall = 4.00, workload = 1.64, difficulty = 2.68
324 BCMP 235 2012: overall = 4.12, workload = 1.75, difficulty = 2.62
325 SCI-LIVSYS 12 2012: overall = 4.21, workload = 1.72, difficulty = 2.76
326 SCI-LIVSYS 17 2011: overall = 4.12, workload = 1.72, difficulty = 2.67
