271 LING 104 2012: overall = 3.44, workload = 1.67, difficulty = 2.67
272 OEB 132 2011: overall = 4.27, workload = 1.64, difficulty = 2.73
273 SCI-PHYUNV 27 2012: overall = 3.70, workload = 1.82, difficulty = 2.37
274 SPANSH Aa 2011: overall = 4.46, workload = 1.79, difficulty = 2.43
275 LING 200 2011: overall = 3.91, workload = 1.73, difficulty = 2.55
276 US-WORLD 32 2012: overall = 4.65, workload = 1.72, difficulty = 2.58
277 PSY 1502 2011: overall = 3.54, workload = 1.70, difficulty = 2.63
278 STAT 135 2011: overall = 4.17, workload = 1.64, difficulty = 2.76
279 HISTSCI 136 2011: overall = 4.28, workload = 1.76, difficulty = 2.52
280 CULTR&BLF 51 2012: overall = 4.52, workload = 1.78, difficulty = 2.48
281 E&M-REASON 19 2011: overall = 3.05, workload = 1.86, difficulty = 2.32
282 US-WORLD 11 2011: overall = 2.89, workload = 1.63, difficulty = 2.79
283 AFRAMER 10 2011: overall = 3.83, workload = 1.72, difficulty = 2.61
284 HISTSCI 193 2012: overall = 4.06, workload = 1.76, difficulty = 2.53
285 CULTR&BLF 52 2012: overall = 3.78, workload = 1.70, difficulty = 2.65
286 PORTUG C 2012: overall = 3.75, workload = 1.70, difficulty = 2.65
287 SCRB 175 2011: overall = 4.12, workload = 1.62, difficulty = 2.81
288 PSY 1901a 2011: overall = 3.90, workload = 1.86, difficulty = 2.33
289 PSY 1357 2011: overall = 4.00, workload = 1.71, difficulty = 2.64
290 MUSIC 187rg 2012: overall = 4.62, workload = 1.81, difficulty = 2.44
291 HEB 1333 2011: overall = 4.54, workload = 1.69, difficulty = 2.69
292 PSY 950 2011: overall = 4.50, workload = 1.80, difficulty = 2.47
293 SOC-WORLD 44 2011: overall = 3.48, workload = 1.74, difficulty = 2.59
294 HISTSCI 134 2011: overall = 4.60, workload = 1.80, difficulty = 2.47
295 CLAS-STDY 165 2012: overall = 4.13, workload = 1.77, difficulty = 2.53
296 ANTHRO 1682 2011: overall = 4.22, workload = 1.81, difficulty = 2.46
297 HSEMR-WI 75 2011: overall = 4.57, workload = 1.79, difficulty = 2.50
298 WOMGEN 1258 2012: overall = 3.18, workload = 1.82, difficulty = 2.45
299 OEB 251 2011: overall = 4.92, workload = 1.67, difficulty = 2.75
300 NEUROBIO 95hfp 2012: overall = 4.80, workload = 1.70, difficulty = 2.70
301 DRAMA 132 2012: overall = 4.45, workload = 1.64, difficulty = 2.82
302 MUSIC 121a 2012: overall = 4.27, workload = 1.64, difficulty = 2.82
303 NEUROBIO 95hfx 2012: overall = 4.09, workload = 1.55, difficulty = 3.00
304 SOC-WORLD 38 2012: overall = 3.61, workload = 1.64, difficulty = 2.83
305 SCI-LIVSYS 17 2011: overall = 4.12, workload = 1.72, difficulty = 2.67
306 HISTSCI 142 2012: overall = 3.91, workload = 1.76, difficulty = 2.59
307 ECON 1432 2012: overall = 3.83, workload = 1.70, difficulty = 2.72
308 MUSIC 1b 2011: overall = 3.56, workload = 1.79, difficulty = 2.54
309 HAA 10 2011: overall = 3.73, workload = 1.72, difficulty = 2.68
310 BCMP 235 2012: overall = 4.12, workload = 1.75, difficulty = 2.62
311 RELIGION 1055 2012: overall = 3.79, workload = 1.79, difficulty = 2.54
312 HIST 1967 2011: overall = 4.17, workload = 1.80, difficulty = 2.53
313 ENG-SCI 276 2012: overall = 3.13, workload = 1.93, difficulty = 2.27
314 SCRB 170 2011: overall = 3.79, workload = 1.57, difficulty = 3.00
315 SPANSH 50 2011: overall = 4.40, workload = 1.81, difficulty = 2.52
316 WOMGEN 1266 2011: overall = 4.43, workload = 1.86, difficulty = 2.43
317 GOV 1359 2012: overall = 3.64, workload = 1.74, difficulty = 2.67
318 SCI-LIVSYS 25 2011: overall = 3.28, workload = 1.80, difficulty = 2.56
319 AESTH&INTP 53 2011: overall = 3.64, workload = 1.85, difficulty = 2.46
320 AESTH&INTP 31 2011: overall = 3.32, workload = 1.79, difficulty = 2.58
321 AESTH&INTP 14 2011: overall = 3.85, workload = 1.82, difficulty = 2.52
322 AESTH&INTP 16 2012: overall = 3.83, workload = 1.67, difficulty = 2.83
323 OEB 106 2012: overall = 4.50, workload = 1.67, difficulty = 2.83
324 MUSIC 1a 2011: overall = 3.87, workload = 1.65, difficulty = 2.87
325 VES 70 2012: overall = 3.67, workload = 1.78, difficulty = 2.61
326 CULTR&BLF 30 2011: overall = 4.24, workload = 1.72, difficulty = 2.74
327 CELTIC 151 2011: overall = 4.73, workload = 1.91, difficulty = 2.36
328 OEB 118 2011: overall = 4.00, workload = 1.64, difficulty = 2.91
329 MODMIDEAST 100 2012: overall = 4.28, workload = 1.89, difficulty = 2.41
330 SAS 150 2012: overall = 4.18, workload = 1.82, difficulty = 2.55
331 SCI-PHYUNV 19 2011: overall = 3.60, workload = 1.77, difficulty = 2.65
332 PSY 1512 2011: overall = 4.00, workload = 1.95, difficulty = 2.30
333 WOMGEN 1245 2011: overall = 3.76, workload = 1.72, difficulty = 2.76
334 ENGLISH 182a 2011: overall = 4.50, workload = 1.90, difficulty = 2.40
335 ENGLISH Crr 2012: overall = 4.50, workload = 1.70, difficulty = 2.80
336 SCI-LIVSYS 12 2012: overall = 4.21, workload = 1.72, difficulty = 2.76
337 WOMGEN 1258 2011: overall = 3.40, workload = 1.80, difficulty = 2.60
338 SCI-PHYUNV 14 2011: overall = 4.20, workload = 1.60, difficulty = 3.00
339 WOMGEN 1127 2012: overall = 4.47, workload = 1.80, difficulty = 2.60
340 PSY 1513 2012: overall = 3.79, workload = 1.76, difficulty = 2.69
341 ECON 1018 2011: overall = 3.39, workload = 1.71, difficulty = 2.79
342 HISTSCI 190 2011: overall = 3.60, workload = 1.87, difficulty = 2.47
343 KOREAN Bxa 2012: overall = 5.00, workload = 1.89, difficulty = 2.44
344 PSY 1901d 2011: overall = 3.14, workload = 1.79, difficulty = 2.64
345 AESTH&INTP 40 2011: overall = 3.75, workload = 1.83, difficulty = 2.58
346 OEB 52 2011: overall = 4.32, workload = 1.88, difficulty = 2.50
347 GOV 1790 2011: overall = 3.41, workload = 1.87, difficulty = 2.52
348 OEB 167 2011: overall = 4.58, workload = 1.74, difficulty = 2.79
349 VES 72 2011: overall = 4.05, workload = 1.86, difficulty = 2.55
350 SPANSH 50 2011: overall = 4.39, workload = 1.87, difficulty = 2.53
351 GOV 94ek 2012: overall = 4.93, workload = 1.80, difficulty = 2.67
